ID,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
52,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
54,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single
55,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married
58,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Single,Single,Single,Single,Romantic Partner,Single,Single,Romantic Partner,Married,Married,Married,Married,Married
59,Single,Single,Single,Single,Romantic Partner,Single,Single,Single,Single,Single,Romantic Partner,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Single,Single,Romantic Partner
60,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner
61,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
62,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married
64,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner
67,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
68,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Married,Married
69,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
70,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married
